Id,Code,City Name,City Abbr,Longitude,Latitude.City PinYin
1826,D,大化瑶族自治县,DHYZZZX,107.9945,23.739596,dahuayaozuzizhixian
1806,D,德保,DB,106.618164,23.321464,debao
286,D,儋州,DZ,109.580688,19.520929,danzhou
583,D,东方,DF,108.653671,19.09614,dongfang
586,D,定安,DA,110.359299,19.68121,dingan
1129,D,垫江,DJ,107.335152,30.326799,dianjiang
1872,D,大英,DY,105.252187,30.581571,daying
1882,D,丹棱,DL,103.518333,30.012751,danleng
1922,D,丹巴,DB,101.886125,30.877083,danba
1925,D,道孚,DF,101.123327,30.978767,daofu
1929,D,德格,DG,98.57999,31.806729,dege
1936,D,稻城,DC,100.296689,29.037544,daocheng
1937,D,得荣,DR,99.288036,28.71134,derong
131,D,德阳,DY,104.397903,31.126789,deyang
1941,D,德昌,DC,102.178845,27.403827,dechang
247,D,达州,DZ,107.467911,31.208639,dazhou
1024,D,大竹,DZ,107.204407,30.736071,dazhu
1045,D,大邑,DY,103.520851,30.58757,dayi
428,D,都江堰,DJY,103.646622,30.988371,dujiangyan
1964,D,道真仡佬族苗族自治县,DZGLZMZZZX,107.605342,28.880088,daozhengelaozumiaozuzizhixian
575,D,大方,DF,105.612999,27.141609,dafang
576,D,都匀,DY,107.518669,26.25979,duyun
2015,D,独山,DS,107.542757,25.826283,dushan
2009,D,丹寨,DZ,107.79211,26.19875,danzhai
1983,D,德江,DJ,108.117317,28.26094,dejiang
2076,D,大姚,DY,101.323602,25.722348,dayao
2044,D,大关,DG,103.891608,27.747114,daguan
2100,D,大理白族自治州,DLBZZZZ,100.240037,25.592765,dalibaizuzizhizhou
174,D,大理,DL,100.229759,25.591579,dali
2111,D,德宏傣族景颇族自治州,DHDZJPZZZZ,98.578363,24.436694,dehongdaizujingpozuzizhizhou
2122,D,迪庆藏族自治州,DQZZZZZ,99.706463,27.826853,diqingzangzuzizhizhou
2124,D,德钦,DQ,98.91506,28.483272,deqin
2136,D,定日,DR,87.123887,28.656667,dingri
2144,D,定结,DJ,87.767723,28.36409,dingjie
2156,D,丁青,DQ,95.597748,31.410681,dingqing
2127,D,当雄,DX,91.103551,30.474819,dangxiong
2230,D,大荔,DL,109.943123,34.795011,dali
1143,D,定边,DB,107.60128,37.59454,dingbian
2279,D,丹凤,DF,110.33191,33.694711,danfeng
2315,D,敦煌,DH,94.664279,40.141119,dunhuang
2323,D,定西,DX,104.626294,35.579578,dingxi
2333,D,宕昌,DC,104.394475,34.042655,dangchang
2345,D,东乡族自治县,DXZZZX,103.389568,35.66383,dongxiangzuzizhixian
2352,D,迭部,DB,103.221009,34.055348,diebu
2385,D,达日,DR,99.651715,33.753259,dari
2396,D,德令哈,DLH,97.370143,37.374555,delingha
2398,D,都兰,DL,98.089161,36.298553,dulan
2400,D,大柴旦行政委员会,DCDXZWYH,95.36545,37.85265,dachaidanxingzhengweiyuanhui
2356,D,大通回族土族自治县,DTHZTZZZX,101.684183,36.931343,datonghuizutuzuzizhixian
1253,G,故城,GC,115.966747,37.350981,gucheng
619,G,固安,GA,116.298523,39.438251,guan
594,G,高碑店,GBD,115.873734,39.32658,gaobeidian
1207,G,高阳,GY,115.77051,38.69493,gaoyang
1220,G,沽源,GY,115.684836,41.667419,guyuan
1187,G,广平,GP,114.950859,36.483603,guangping
1188,G,馆陶,GT,115.289057,36.539461,guantao
1198,G,广宗,GZ,115.142797,37.075548,guangzong
1592,G,高邑,GY,114.610699,37.605714,gaoyi
1262,G,古交,GJ,112.174353,37.908534,gujiao
1320,G,古县,GX,111.920207,36.26855,guxian
1265,G,广灵,GL,114.279252,39.763051,guangling
999,G,高平,GP,112.923576,35.798069,gaoping
1348,G,固阳,GY,110.063421,41.030004,guyang
1380,G,根河,GH,121.532724,50.780454,genhe
906,G,盖州,GZ,122.348801,40.400532,gaizhou
804,G,公主岭,GZL,124.8228,43.504681,gongzhuling
1472,G,甘南,GN,123.506034,47.917838,gannan
854,G,高邮,GY,119.455582,32.78112,gaoyou
857,G,灌云,GY,119.240959,34.284069,guanyun
861,G,灌南,GN,119.315628,34.086731,guannan
477,G,广德,GD,119.417053,30.893801,guangde
1529,G,固镇,GZ,117.315962,33.318679,guzhen
1161,G,古田,GT,118.746063,26.57762,gutian
1562,G,光泽,GZ,117.337897,27.542803,guangze
885,G,贵溪,GX,117.245247,28.292521,guixi
1583,G,共青城,GQC,115.79406,29.248399,gongqingcheng
874,G,高安,GA,115.375618,28.41729,gaoan
129,G,赣州,GZ,114.934761,25.831091,ganzhou
1616,G,广昌,GC,116.327291,26.838426,guangchang
929,G,高密,GM,119.755676,36.382568,gaomi
1626,G,高青,GQ,117.829839,37.169581,gaoqing
981,G,冠县,GX,115.442627,36.483349,guanxian
985,G,高唐,GT,116.23111,36.86602,gaotang
987,G,广饶,GR,118.407021,37.053589,guangrao
417,G,巩义,GY,113.022057,34.747978,gongyi
632,G,固始,GS,115.654808,32.168388,gushi
683,G,光山,GS,114.918777,32.009972,guangshan
724,G,广水,GS,113.825996,31.616859,guangshui
718,G,公安,GA,112.229477,30.0583,gongan
741,G,谷城,GC,111.653038,32.263378,gucheng
773,G,桂阳,GY,112.733681,25.754101,guiyang
1714,G,桂东,GD,113.945879,26.073917,guidong
1733,G,古丈,GZ,109.949592,28.616973,guzhang
1742,G,广宁,GN,112.440419,23.631486,guangning
551,G,高州,GZ,110.853378,21.918119,gaozhou
4,G,广州,GZ,113.264359,23.12908,guangzhou
98,G,桂林,GL,110.290024,25.273609,guilin
1783,G,灌阳,GY,111.160248,25.489098,guanyang
1788,G,恭城瑶族自治县,GCYZZZX,110.82952,24.833612,gongchengyaozuzizhixian
431,G,贵港,GG,109.597641,23.11306,guigang
568,G,桂平,GP,110.07901,23.3941,guiping
262,G,广元,GY,105.843567,32.43549,guangyuan
316,G,广安,GA,106.633217,30.455959,guangan
1887,G,高县,GX,104.519187,28.435676,gaoxian
1888,G,珙县,GX,104.712268,28.449041,gongxian
1860,G,古蔺,GL,105.813359,28.03948,gulin
1919,G,甘孜藏族自治州,GZZZZZZ,101.96254,30.04932,ganzizangzuzizhizhou
1927,G,甘孜,GZ,99.991487,31.618487,ganzi
197,G,广汉,GH,104.282494,30.97706,guanghan
1952,G,甘洛,GL,102.775924,28.977094,ganluo
1974,G,关岭布依族苗族自治县,GLBYZMZZZX,105.666856,25.980713,guanlingbuyizumiaozuzizhixian
137,G,贵阳,GY,106.630241,26.64702,guiyang
2013,G,贵定,GD,107.233588,26.580807,guiding
2069,G,耿马傣族佤族自治县,GMDZWZZZX,99.402495,23.534579,gengmadaizuwazuzizhixian
1071,G,个旧,GJ,103.160042,23.35899,gejiu
2095,G,广南,GN,105.04926,24.0507,guangnan
2120,G,贡山独龙族怒族自治县,GSDLZNZZZX,98.666141,27.738054,gongshandulongzunuzuzizhixian
2150,G,岗巴,GB,88.518903,28.274371,gangba
2154,G,贡觉,GJ,98.271191,30.859206,gongjue
2166,G,贡嘎,GG,90.985271,29.289078,gongga
2191,G,噶尔,GE,80.101674,32.501353,gaer
2193,G,革吉,GJ,81.142896,32.389192,geji
2194,G,改则,GZ,84.062384,32.302076,gaize
2198,G,工布江达,GBJD,93.246515,29.88447,gongbujiangda
2244,G,甘泉,GQ,109.34961,36.277729,ganquan
2297,G,古浪,GL,102.898047,37.470571,gulang
2311,G,瓜州,GZ,95.780591,40.516525,guazhou
2343,G,广河,GH,103.576188,35.481688,guanghe
2285,G,皋兰,GL,103.94933,36.331254,gaolan
2293,G,甘谷,GG,105.332347,34.747327,gangu
2347,G,甘南藏族自治州,GNZZZZZ,102.911008,34.986354,gannanzangzuzizhizhou
2302,G,高台,GT,99.81665,39.376308,gaotai
2369,G,刚察,GC,100.138417,37.326263,gangcha
2376,G,共和,GH,100.619597,36.280286,gonghe
2378,G,贵德,GD,101.431856,36.040456,guide
2380,G,贵南,GN,100.74792,35.587085,guinan
2381,G,果洛藏族自治州,GLZZZZZ,100.247076,34.468685,guoluozangzuzizhizhou
2384,G,甘德,GD,99.902589,33.966987,gande
922,G,格尔木,GEM,94.9033,36.4024,geermu
2410,G,固原,GY,106.285241,36.004561,guyuan
2485,G,巩留,GL,82.227044,43.481618,gongliu
1254,F,阜城,FC,116.164727,37.869945,fucheng
1204,F,阜平,FP,114.198801,38.847276,fuping
1184,F,肥乡,FX,114.805154,36.555778,feixiangxian
1235,F,丰宁满族自治县,FNMZZZX,116.65121,41.209903,fengningmanzuzizhixian
1308,F,繁峙,FZ,113.559254,39.2663,fanzhi
1339,F,方山,FS,111.238885,37.892632,fangshan
1342,F,汾阳,FY,111.785273,37.267742,fenyang
1322,F,浮山,FS,111.850039,35.971359,fushan
1329,F,汾西,FX,111.563021,36.653368,fenxi
1396,F,丰镇,FZ,113.163462,40.437534,fengzhen
1420,F,法库,FK,123.416722,42.507045,faku
108,F,抚顺,FS,123.957222,41.879711,fushun
1424,F,抚顺,FS,124.097979,41.922644,fushun
118,F,阜新,FX,121.670113,42.02166,fuxin
1433,F,阜新蒙古族自治县,FXMGZZZX,121.743125,42.058607,fuxinmengguzuzizhixian
904,F,凤城,FC,124.066048,40.452789,fengcheng
821,F,扶余,FY,126.049721,44.990139,fuyu
811,F,抚松,FS,127.280357,42.342018,fusong
708,F,富锦,FJ,132.037277,47.250221,fujin
1494,F,抚远,FY,134.294501,48.364707,fuyuan
1473,F,富裕,FY,124.469106,47.797172,fuyu
1465,F,方正,FZ,128.836131,45.839536,fangzheng
840,F,丰县,FX,116.595322,34.693958,fengxian
